model,alpha,confidently_wrong_threshold,condition,coverage_target,baseline_accuracy,combined_accuracy,confidence_accuracy,combined_coverage,confidence_coverage,combined_gain_vs_baseline_pp,confidence_gain_vs_baseline_pp,lift_over_confidence_pp,source,source_path
qwen3-4b,0.5,0.6,ICC,0.25,0.7228260869565217,0.9772727272727273,0.8045112781954887,0.2391304347826087,0.7228260869565217,25.444664031620555,8.1685191238967,17.276144907723857,rerun,D:\Study\UIUC\Research\Uncertainty\results\conf_threshold_sensitivity\qwen3-4b_conflict_prediction_confthr_0p6.json
qwen3-8b,0.5,0.6,IC,0.75,0.5652173913043478,0.7121212121212122,0.5746268656716418,0.717391304347826,0.7282608695652174,14.690382081686437,0.9409474367294002,13.749434644957038,rerun,D:\Study\UIUC\Research\Uncertainty\results\conf_threshold_sensitivity\qwen3-8b_conflict_prediction_confthr_0p6.json
qwen3-8b,0.5,0.6,IC,0.5,0.5652173913043478,0.7865168539325843,0.5510204081632653,0.483695652173913,0.532608695652174,22.12994626282365,-1.419698314108253,23.549644576931904,rerun,D:\Study\UIUC\Research\Uncertainty\results\conf_threshold_sensitivity\qwen3-8b_conflict_prediction_confthr_0p6.json
qwen3-8b,0.5,0.6,IC,0.25,0.5652173913043478,0.8260869565217391,0.5510204081632653,0.25,0.532608695652174,26.086956521739136,-1.419698314108253,27.50665483584739,rerun,D:\Study\UIUC\Research\Uncertainty\results\conf_threshold_sensitivity\qwen3-8b_conflict_prediction_confthr_0p6.json
qwen3-8b,0.5,0.6,ICC,0.75,0.7663043478260869,0.8707482993197279,0.7959183673469388,0.7989130434782609,0.7989130434782609,10.444395149364095,2.9614019520851853,7.482993197278908,rerun,D:\Study\UIUC\Research\Uncertainty\results\conf_threshold_sensitivity\qwen3-8b_conflict_prediction_confthr_0p6.json
qwen3-8b,0.5,0.6,ICC,0.5,0.7663043478260869,0.93,0.8738738738738738,0.5434782608695652,0.6032608695652174,16.36956521739131,10.756952604778691,5.612612612612622,rerun,D:\Study\UIUC\Research\Uncertainty\results\conf_threshold_sensitivity\qwen3-8b_conflict_prediction_confthr_0p6.json
qwen3-8b,0.5,0.6,ICC,0.25,0.7663043478260869,0.9830508474576272,0.8738738738738738,0.32065217391304346,0.6032608695652174,21.674649963154025,10.756952604778691,10.917697358375333,rerun,D:\Study\UIUC\Research\Uncertainty\results\conf_threshold_sensitivity\qwen3-8b_conflict_prediction_confthr_0p6.json
qwen3.5-9b,0.5,0.6,IC,0.75,0.3532608695652174,0.39864864864864863,0.32903225806451614,0.8043478260869565,0.842391304347826,4.538777908343122,-2.422861150070127,6.961639058413249,rerun,D:\Study\UIUC\Research\Uncertainty\results\conf_threshold_sensitivity\qwen3.5-9b_conflict_prediction_confthr_0p6.json
qwen3.5-9b,0.5,0.6,IC,0.5,0.3532608695652174,0.5757575757575758,0.27184466019417475,0.5380434782608695,0.5597826086956522,22.24967061923584,-8.141620937104266,30.391291556340107,rerun,D:\Study\UIUC\Research\Uncertainty\results\conf_threshold_sensitivity\qwen3.5-9b_conflict_prediction_confthr_0p6.json
qwen3.5-9b,0.5,0.6,IC,0.25,0.3532608695652174,0.7,0.30952380952380953,0.21739130434782608,0.22826086956521738,34.67391304347826,-4.373706004140788,39.047619047619044,rerun,D:\Study\UIUC\Research\Uncertainty\results\conf_threshold_sensitivity\qwen3.5-9b_conflict_prediction_confthr_0p6.json
qwen3.5-9b,0.5,0.6,ICC,0.75,0.8152173913043478,0.875,0.9071428571428571,0.7391304347826086,0.7608695652173914,5.978260869565222,9.192546583850936,-3.214285714285714,rerun,D:\Study\UIUC\Research\Uncertainty\results\conf_threshold_sensitivity\qwen3.5-9b_conflict_prediction_confthr_0p6.json
qwen3.5-9b,0.5,0.6,ICC,0.5,0.8152173913043478,0.96875,0.97,0.5217391304347826,0.5434782608695652,15.353260869565222,15.478260869565219,-0.12499999999999734,rerun,D:\Study\UIUC\Research\Uncertainty\results\conf_threshold_sensitivity\qwen3.5-9b_conflict_prediction_confthr_0p6.json
qwen3.5-9b,0.5,0.6,ICC,0.25,0.8152173913043478,1.0,0.9791666666666666,0.2608695652173913,0.2608695652173913,18.478260869565222,16.394927536231883,2.083333333333337,rerun,D:\Study\UIUC\Research\Uncertainty\results\conf_threshold_sensitivity\qwen3.5-9b_conflict_prediction_confthr_0p6.json
llama3.1-8b,0.5,0.7,IC,0.75,0.33152173913043476,0.3767123287671233,0.3150684931506849,0.7934782608695652,0.7934782608695652,4.519058963668854,-1.6453245979749842,6.164383561643838,root_default,D:\Study\UIUC\Research\Uncertainty\results\llama3.1-8b_conflict_prediction.json
llama3.1-8b,0.5,0.7,IC,0.5,0.33152173913043476,0.48484848484848486,0.30303030303030304,0.5380434782608695,0.5380434782608695,15.332674571805011,-2.8491436100131717,18.181818181818183,root_default,D:\Study\UIUC\Research\Uncertainty\results\llama3.1-8b_conflict_prediction.json
llama3.1-8b,0.5,0.7,IC,0.25,0.33152173913043476,0.6363636363636364,0.30434782608695654,0.2391304347826087,0.25,30.48418972332016,-2.7173913043478217,33.201581027667984,root_default,D:\Study\UIUC\Research\Uncertainty\results\llama3.1-8b_conflict_prediction.json
llama3.1-8b,0.5,0.7,ICC,0.75,0.6032608695652174,0.7028985507246377,0.644927536231884,0.75,0.75,9.96376811594203,4.1666666666666625,5.797101449275366,root_default,D:\Study\UIUC\Research\Uncertainty\results\llama3.1-8b_conflict_prediction.json
llama3.1-8b,0.5,0.7,ICC,0.5,0.6032608695652174,0.7717391304347826,0.6774193548387096,0.5,0.5054347826086957,16.84782608695652,7.4158485273492225,9.431977559607297,root_default,D:\Study\UIUC\Research\Uncertainty\results\llama3.1-8b_conflict_prediction.json
llama3.1-8b,0.5,0.7,ICC,0.25,0.6032608695652174,0.8909090909090909,0.7017543859649122,0.29891304347826086,0.30978260869565216,28.764822134387348,9.849351639969484,18.915470494417864,root_default,D:\Study\UIUC\Research\Uncertainty\results\llama3.1-8b_conflict_prediction.json
meditron3-8b,0.5,0.7,IC,0.75,0.3695652173913043,0.4206896551724138,0.38620689655172413,0.7880434782608695,0.7880434782608695,5.112443778110948,1.6641679160419809,3.448275862068967,root_default,D:\Study\UIUC\Research\Uncertainty\results\meditron3-8b_conflict_prediction.json
meditron3-8b,0.5,0.7,IC,0.5,0.3695652173913043,0.5376344086021505,0.3655913978494624,0.5054347826086957,0.5054347826086957,16.80691912108462,-0.397381954184195,17.204301075268813,root_default,D:\Study\UIUC\Research\Uncertainty\results\meditron3-8b_conflict_prediction.json
meditron3-8b,0.5,0.7,IC,0.25,0.3695652173913043,0.6190476190476191,0.2619047619047619,0.22826086956521738,0.22826086956521738,24.948240165631475,-10.76604554865424,35.714285714285715,root_default,D:\Study\UIUC\Research\Uncertainty\results\meditron3-8b_conflict_prediction.json
meditron3-8b,0.5,0.7,ICC,0.75,0.6902173913043478,0.7801418439716312,0.75177304964539,0.7663043478260869,0.7663043478260869,8.992445266728344,6.155565834104227,2.8368794326241176,root_default,D:\Study\UIUC\Research\Uncertainty\results\meditron3-8b_conflict_prediction.json
meditron3-8b,0.5,0.7,ICC,0.5,0.6902173913043478,0.8777777777777778,0.7608695652173914,0.4891304347826087,0.5,18.756038647342997,7.0652173913043566,11.690821256038642,root_default,D:\Study\UIUC\Research\Uncertainty\results\meditron3-8b_conflict_prediction.json
meditron3-8b,0.5,0.7,ICC,0.25,0.6902173913043478,0.9761904761904762,0.7906976744186046,0.22826086956521738,0.23369565217391305,28.59730848861284,10.048028311425682,18.549280177187157,root_default,D:\Study\UIUC\Research\Uncertainty\results\meditron3-8b_conflict_prediction.json
phi4-14b,0.5,0.7,IC,0.75,0.44565217391304346,0.48872180451127817,0.45112781954887216,0.7228260869565217,0.7228260869565217,4.306963059823471,0.5475645635828696,3.7593984962406015,root_default,D:\Study\UIUC\Research\Uncertainty\results\phi4-14b_conflict_prediction.json
phi4-14b,0.5,0.7,IC,0.5,0.44565217391304346,0.6153846153846154,0.4177215189873418,0.42391304347826086,0.42934782608695654,16.973244147157196,-2.793065492570168,19.766309639727364,root_default,D:\Study\UIUC\Research\Uncertainty\results\phi4-14b_conflict_prediction.json
phi4-14b,0.5,0.7,IC,0.25,0.44565217391304346,0.8387096774193549,0.3387096774193548,0.16847826086956522,0.33695652173913043,39.30575035063114,-10.694249649368864,50.0,root_default,D:\Study\UIUC\Research\Uncertainty\results\phi4-14b_conflict_prediction.json
